"","Predictor","Estimate","StdError","PValue","FDR","logFDR"
"DG_34_1_","DG_34_1_",0.123056028208661,0.064697531116405,0.0571684792043909,0.20657396130535,0.684924422284401
"DG_34_3_","DG_34_3_",0.254457244578819,0.177180620825854,0.150960793480212,0.378271576669971,0.422196290372984
"DG_36_2_","DG_36_2_",0.191817539471113,0.106945425806501,0.0728767023779163,0.240923040432919,0.618121664699085
"DG_36_3_","DG_36_3_",0.185498444063394,0.0912424967112624,0.0420498122000389,0.183838008156765,0.735564694112774
"DG_36_4_","DG_36_4_",0.448465964006625,0.199315490981216,0.0244469996476387,0.144152997922284,0.841176321242708
"DG_38_0_","DG_38_0_",-0.0485796529592824,0.106605589291018,0.648609190151931,0.830388931242539,0.0807184484314618
"DG_38_5_","DG_38_5_",1.70395891185194,0.837327721157704,0.0418512335704884,0.183838008156765,0.735564694112774
"DG_39_0_","DG_39_0_",0.0967017317273875,0.0481190726431804,0.0444699239271245,0.187104682158403,0.727915344460893
"DG_41_1_","DG_41_1_",0.207918685233901,0.0731248594347133,0.00446437104121642,0.0902180807775345,1.04470641595026
"DG_42_0_","DG_42_0_",-0.283076136642748,0.304589865308884,0.352698299018854,0.637324262547184,0.195639547878543
"DG_42_1_","DG_42_1_",0.0335987643145962,0.0673912617280491,0.618087541042069,0.813537127396903,0.0896226223759652
"DG_42_2_","DG_42_2_",-0.466743838708771,0.229443223180364,0.0419268515426426,0.183838008156765,0.735564694112774
"DG_44_3_","DG_44_3_",0.242043821071107,0.147696113774054,0.101255723460866,0.287356577413847,0.541578857685159
"DG_O_32_2_","DG_O_32_2_",0.0223587835719069,0.135773871617532,0.869198512660726,0.948958864289241,0.0227526130725965
"DG_O_34_1_","DG_O_34_1_",0.0260306115975545,0.0661649056297255,0.694009139298501,0.859231910489421,0.0658896023473537
"DG_O_36_4_","DG_O_36_4_",-0.126126464297774,0.165088702039676,0.444871949919706,0.694731538230773,0.158182985322139
"LPC_14_0_","LPC_14_0_",-0.0961387517736482,0.761742456174762,0.899566489316998,0.969901994564028,0.0132721475589142
"LPC_15_0_","LPC_15_0_",-5.83476431692153,2.65760439757926,0.0281279163906195,0.152694403263363,0.816176880929059
"LPC_16_0_","LPC_16_0_",-0.0284776002156782,0.0170936994551907,0.0957192764171071,0.283361668862224,0.547658898363485
"LPC_16_1_","LPC_16_1_",-0.363938694202192,0.527059585665053,0.489874978985624,0.734812468478436,0.133823483088275
"LPC_17_0_","LPC_17_0_",-3.80753011782155,1.21435069210854,0.00171593450758243,0.0653299956269437,1.18488737088097
"LPC_17_1_","LPC_17_1_",-6.81923809256371,2.791352159614,0.0145662467269472,0.137917309852225,0.860381222573078
"LPC_18_0_","LPC_18_0_",-0.0398645013216885,0.0210477909041699,0.0582251022622889,0.20657396130535,0.684924422284401
"LPC_18_1_","LPC_18_1_",-0.134453558397516,0.035023819132903,0.000123577852445255,0.0305834854420324,1.51451302180193
"LPC_18_2_","LPC_18_2_",-0.0718257313876035,0.0195617007490813,0.000240892541306312,0.0305834854420324,1.51451302180193
"LPC_20_1_","LPC_20_1_",-13.8627355836665,4.4230784167103,0.00172333556379775,0.0653299956269437,1.18488737088097
"LPC_20_2_","LPC_20_2_",-7.12157909137264,2.52410738325105,0.00478108500054497,0.0902180807775345,1.04470641595026
"LPC_20_3_","LPC_20_3_",-0.184533772443006,0.080776254842162,0.0223418586282036,0.137917309852225,0.860381222573078
"LPC_20_4_","LPC_20_4_",-0.289887802138409,0.0810525621654586,0.000348170887808775,0.0305834854420324,1.51451302180193
"LPC_22_5_","LPC_22_5_",-1.29240927984844,1.1606984281493,0.265504258551539,0.540490812051348,0.267211684336601
"LPC_22_6_","LPC_22_6_",-0.714587009101919,0.301616376671329,0.0178270119034435,0.137917309852225,0.860381222573078
"LPC_24_0_","LPC_24_0_",1.75514435068481,1.87761636744044,0.349905498386078,0.637324262547184,0.195639547878543
